hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
17, 1800.00000, 121.115, 124.154, 119.094, 0, 241.774, 248.085, 420.051, 8.64722E-010
17, 2700.00000, 121.235, 124.234, 119.242, 0, 237.906, 244.021, 413.31, 1.48612E-009
18, 0.00000, 121.063, 124.114, 119.044, 0, 243.476, 249.856, 423.023, 1.53666E-009
18, 900.00000, 119.411, 123.176, 116.892, 0, 298.214, 308.094, 518.536, 4.64199E-011
18, 1800.00000, 119.225, 123.107, 116.593, 0, 303.663, 314.076, 528.036, 1.23705E-011
18, 2700.00000, 118.74, 122.857, 115.945, 0, 321.201, 332.967, 558.686, 2.04519E-010
19, 0.00000, 117.921, 122.466, 114.827, 0, 355.592, 370.167, 618.823, 4.46048E-010
19, 900.00000, 118.342, 122.738, 115.366, 0, 342.839, 356.345, 596.539, 9.7603E-010
19, 1800.00000, 118.202, 122.625, 115.176, 0, 345.227, 358.941, 600.665, 5.20964E-010
19, 2700.00000, 117.298, 122.154, 113.938, 0, 379.807, 396.614, 661.128, 2.45547E-010
20, 0.00000, 117.928, 122.436, 114.838, 0, 355.26, 369.695, 618.178, 4.42383E-010
20, 900.00000, 116.821, 121.98, 113.237, 0, 403.174, 422.295, 702.045, 3.6165E-010
20, 1800.00000, 117.752, 122.395, 114.556, 0, 365.583, 380.937, 636.224, 2.9083E-010
20, 2700.00000, 117.85, 122.458, 114.658, 0, 362.272, 377.357, 630.397, 2.60362E-010
21, 0.00000, 117.411, 122.158, 114.107, 0, 373.014, 389.114, 649.181, 1.75139E-010
21, 900.00000, 118.199, 122.616, 115.161, 0, 349.791, 363.67, 608.575, 7.13475E-011
21, 1800.00000, 118.08, 122.66, 114.941, 0, 359.039, 373.857, 624.806, 5.83694E-010
21, 2700.00000, 118.541, 122.931, 115.538, 0, 344.167, 357.692, 598.793, 3.54715E-010
22, 0.00000, 118.965, 123.215, 116.084, 0, 331.336, 343.862, 576.404, 4.06808E-010
22, 900.00000, 118.395, 122.873, 115.332, 0, 350.749, 364.841, 610.307, 6.44404E-010
22, 1800.00000, 118.547, 122.908, 115.562, 0, 343.355, 356.749, 597.354, 1.65858E-010
22, 2700.00000, 118.511, 122.95, 115.474, 0, 348.458, 362.315, 606.291, 2.72512E-010
23, 0.00000, 118.278, 122.872, 115.134, 0, 360.086, 374.967, 626.639, 4.3636E-010
23, 900.00000, 118.84, 123.197, 115.858, 0, 339.781, 352.991, 591.127, 2.43235E-010
23, 1800.00000, 118.252, 122.905, 115.058, 0, 362.632, 377.829, 631.098, 1.61696E-008
23, 2700.00000, 119.124, 123.356, 116.238, 0, 329.977, 342.381, 573.995, 6.02754E-010
24, 0.00000, 118.956, 123.264, 116.023, 0, 337.459, 350.408, 587.08, 2.54204E-010
24, 900.00000, 118.918, 123.335, 115.93, 0, 341.317, 354.764, 593.896, 2.9792E-011
24, 1800.00000, 119.616, 123.737, 116.856, 0, 319.31, 330.925, 555.439, 1.60857E-009
24, 2700.00000, 119.69, 123.888, 116.907, 0, 321.864, 333.79, 559.976, 1.29246E-009
25, 0.00000, 119.854, 123.864, 117.163, 0, 309.629, 320.548, 538.516, 2.84042E-010
25, 900.00000, 119.904, 123.945, 117.204, 0, 310.923, 321.97, 540.803, 6.24009E-010
25, 1800.00000, 119.976, 124.024, 117.285, 0, 310.04, 321.067, 539.289, 5.75736E-010
25, 2700.00000, 119.839, 123.944, 117.095, 0, 314.69, 326.068, 547.397, 4.18484E-010
26, 0.00000, 120.035, 123.951, 117.404, 0, 303.997, 314.436, 528.655, 3.203E-010
26, 900.00000, 120.342, 124.189, 117.781, 0, 295.633, 305.569, 514.099, 1.59656E-009
26, 1800.00000, 120.421, 124.185, 117.907, 0, 291.308, 300.87, 506.514, 1.21633E-008
26, 2700.00000, 120.524, 124.312, 118.017, 0, 291.063, 300.673, 506.135, 1.75488E-009
27, 0.00000, 121.04, 124.673, 118.664, 0, 276.078, 284.761, 480.022, 5.56271E-009
27, 900.00000, 121.13, 124.645, 118.827, 0, 271.028, 279.256, 471.169, 1.72016E-009
27, 1800.00000, 120.996, 124.689, 118.598, 0, 280.925, 289.913, 488.506, 1.83718E-009
27, 2700.00000, 120.662, 124.352, 118.221, 0, 285.777, 294.947, 496.887, 4.43051E-009
28, 0.00000, 120.769, 124.431, 118.357, 0, 283.308, 292.315, 492.59, 1.37496E-009
28, 900.00000, 121.006, 124.596, 118.654, 0, 275.68, 284.246, 479.301, 2.19523E-009
28, 1800.00000, 120.482, 124.241, 117.989, 0, 290.83, 300.36, 505.707, 3.46496E-009
28, 2700.00000, 121.102, 124.611, 118.803, 0, 270.814, 279.022, 470.794, 6.94465E-009
29, 0.00000, 120.918, 124.496, 118.559, 0, 275.989, 284.543, 479.813, 1.90212E-009
29, 900.00000, 120.796, 124.476, 118.378, 0, 283.322, 292.373, 492.632, 6.00615E-010
29, 1800.00000, 120.869, 124.398, 118.526, 0, 275.115, 283.523, 478.245, 1.16872E-009
29, 2700.00000, 120.973, 124.481, 118.659, 0, 272.573, 280.844, 473.833, 1.93762E-009
30, 0.00000, 121.598, 124.852, 119.477, 0, 253.424, 260.493, 440.44, 8.68944E-010
30, 900.00000, 121.087, 124.529, 118.826, 0, 268.951, 276.943, 467.513, 5.82341E-009
30, 1800.00000, 121.268, 124.632, 119.046, 0, 259.725, 267.249, 451.416, 9.49723E-010
30, 2700.00000, 121.874, 125.009, 119.838, 0, 241.578, 248.043, 419.8, 1.21131E-009
31, 0.00000, 121.166, 124.614, 118.926, 0, 265.75, 273.654, 461.982, 5.74693E-009
31, 900.00000, 121.293, 124.609, 119.141, 0, 257.275, 264.612, 447.18, 5.40128E-010
31, 1800.00000, 122.246, 125.152, 120.373, 0, 224.979, 230.526, 390.866, 1.4334E-009
31, 2700.00000, 122.312, 125.158, 120.488, 0, 221.483, 226.823, 384.776, 6.42319E-010
32, 0.00000, 121.687, 124.813, 119.678, 0, 240.685, 247.118, 418.274, 1.03392E-008
32, 900.00000, 122.674, 125.325, 120.98, 0, 206.082, 210.686, 357.944, 2.41874E-009
32, 1800.00000, 122.647, 125.277, 120.969, 0, 204.83, 209.37, 355.765, 1.82063E-010
32, 2700.00000, 122.141, 124.921, 120.349, 0, 218.148, 223.291, 378.946, 1.08068E-009
33, 0.00000, 122.134, 124.752, 120.386, 0, 208.54, 213.165, 362.131, 4.46692E-010
33, 900.00000, 122.017, 124.777, 120.211, 0, 217.32, 222.411, 377.47, 4.40268E-010
33, 1800.00000, 121.98, 124.766, 120.187, 0, 218.516, 223.685, 379.592, 9.05943E-010
33, 2700.00000, 123.026, 125.32, 121.529, 0, 181.722, 185.208, 315.475, 1.81434E-009
34, 0.00000, 122.939, 125.264, 121.431, 0, 184.534, 188.126, 320.377, 1.02652E-009
34, 900.00000, 122.428, 124.956, 120.781, 0, 199.928, 204.19, 347.178, 1.39573E-009
34, 1800.00000, 122.418, 124.98, 120.758, 0, 202.656, 207.036, 351.938, 9.74159E-010
34, 2700.00000, 121.879, 124.656, 120.08, 0, 220.713, 225.922, 383.394, 7.68365E-009
35, 0.00000, 121.641, 124.609, 119.738, 0, 232.214, 238.096, 403.482, 2.64319E-009
35, 900.00000, 122.15, 124.906, 120.383, 0, 212.507, 217.471, 369.146, 3.12351E-010
35, 1800.00000, 122.11, 124.749, 120.398, 0, 210.024, 214.716, 364.765, 1.5841E-009
35, 2700.00000, 122.512, 124.938, 120.933, 0, 195.314, 199.299, 339.127, 9.72384E-009
36, 0.00000, 122.285, 124.957, 120.562, 0, 208.882, 213.602, 362.803, 4.82302E-010
36, 900.00000, 121.472, 124.411, 119.556, 0, 232.787, 238.633, 404.43, 8.50096E-010
36, 1800.00000, 121.709, 124.555, 119.861, 0, 224.172, 229.607, 389.428, 2.58167E-009
36, 2700.00000, 121.762, 124.568, 119.945, 0, 222.177, 227.48, 385.949, 2.32369E-009
37, 0.00000, 121.974, 124.704, 120.212, 0, 216.581, 221.596, 376.199, 9.7036E-010
37, 900.00000, 121.646, 124.52, 119.783, 0, 227.004, 232.565, 394.364, 6.93119E-010
37, 1800.00000, 121.724, 124.506, 119.892, 0, 220.256, 225.473, 382.572, 4.0234E-010
37, 2700.00000, 119.977, 123.536, 117.618, 0, 279.998, 288.699, 486.769, 2.37314E-010
38, 0.00000, 120.289, 123.75, 118.01, 0, 271.632, 279.803, 472.185, 3.32571E-009
38, 900.00000, 120.729, 123.985, 118.602, 0, 257.02, 264.246, 446.696, 4.90862E-010
38, 1800.00000, 121.172, 124.238, 119.164, 0, 241.293, 247.643, 419.261, 4.52966E-009
38, 2700.00000, 121.84, 124.487, 120.079, 0, 212.619, 217.397, 369.231, 9.82174E-009
39, 0.00000, 122.102, 124.588, 120.435, 0, 200.708, 204.927, 348.474, 4.27528E-009
39, 900.00000, 122.502, 124.803, 120.96, 0, 188.554, 192.2, 327.306, 1.12805E-009
39, 1800.00000, 122.235, 124.649, 120.616, 0, 196.197, 200.194, 340.616, 7.27091E-010
39, 2700.00000, 121.798, 124.496, 120.004, 0, 213.984, 218.891, 371.625, 7.69881E-009
40, 0.00000, 121.743, 124.412, 119.954, 0, 214.105, 218.964, 371.809, 1.27024E-009
40, 900.00000, 122.115, 124.564, 120.457, 0, 200.169, 204.311, 347.508, 7.60148E-009
40, 1800.00000, 121.905, 124.512, 120.166, 0, 210.727, 215.388, 365.928, 2.10837E-009
40, 2700.00000, 121.941, 124.577, 120.203, 0, 212.109, 216.851, 368.358, 2.40707E-009
41, 0.00000, 121.4, 124.338, 119.456, 0, 231.62, 237.443, 402.373, 5.94274E-010
41, 900.00000, 121.026, 124.145, 118.97, 0, 244.616, 251.179, 425.049, 3.87795E-009
41, 1800.00000, 121.115, 124.154, 119.094, 0, 241.774, 248.085, 420.051, 8.64722E-010
41, 2700.00000, 121.235, 124.234, 119.242, 0, 237.906, 244.021, 413.31, 1.48612E-009
42, 0.00000, 121.063, 124.114, 119.044, 0, 243.476, 249.856, 423.023, 1.53666E-009
42, 900.00000, 119.411, 123.176, 116.892, 0, 298.214, 308.094, 518.536, 4.64199E-011
42, 1800.00000, 119.225, 123.107, 116.593, 0, 303.663, 314.076, 528.036, 1.23705E-011
42, 2700.00000, 118.74, 122.857, 115.945, 0, 321.201, 332.967, 558.686, 2.04519E-010
43, 0.00000, 117.921, 122.466, 114.827, 0, 355.592, 370.167, 618.823, 4.46048E-010
43, 900.00000, 118.342, 122.738, 115.366, 0, 342.839, 356.345, 596.539, 9.7603E-010
43, 1800.00000, 118.202, 122.625, 115.176, 0, 345.227, 358.941, 600.665, 5.20964E-010
43, 2700.00000, 117.298, 122.154, 113.938, 0, 379.807, 396.614, 661.128, 2.45547E-010
44, 0.00000, 117.928, 122.436, 114.838, 0, 355.26, 369.695, 618.178, 4.42383E-010
44, 900.00000, 116.821, 121.98, 113.237, 0, 403.174, 422.295, 702.045, 3.6165E-010
44, 1800.00000, 117.752, 122.395, 114.556, 0, 365.583, 380.937, 636.224, 2.9083E-010
44, 2700.00000, 117.85, 122.458, 114.658, 0, 362.272, 377.357, 630.397, 2.60362E-010
45, 0.00000, 117.411, 122.158, 114.107, 0, 373.014, 389.114, 649.181, 1.75139E-010
45, 900.00000, 118.199, 122.616, 115.161, 0, 349.791, 363.67, 608.575, 7.13475E-011
45, 1800.00000, 118.08, 122.66, 114.941, 0, 359.039, 373.857, 624.806, 5.83694E-010
45, 2700.00000, 118.541, 122.931, 115.538, 0, 344.167, 357.692, 598.793, 3.54715E-010
46, 0.00000, 118.965, 123.215, 116.084, 0, 331.336, 343.862, 576.404, 4.06808E-010
46, 900.00000, 118.395, 122.873, 115.332, 0, 350.749, 364.841, 610.307, 6.44404E-010
46, 1800.00000, 118.547, 122.908, 115.562, 0, 343.355, 356.749, 597.354, 1.65858E-010
46, 2700.00000, 118.511, 122.95, 115.474, 0, 348.458, 362.315, 606.291, 2.72512E-010
47, 0.00000, 118.278, 122.872, 115.134, 0, 360.086, 374.967, 626.639, 4.3636E-010
47, 900.00000, 118.84, 123.197, 115.858, 0, 339.781, 352.991, 591.127, 2.43235E-010
47, 1800.00000, 118.252, 122.905, 115.058, 0, 362.632, 377.829, 631.098, 1.61696E-008
47, 2700.00000, 119.124, 123.356, 116.238, 0, 329.977, 342.381, 573.995, 6.02754E-010
48, 0.00000, 118.956, 123.264, 116.023, 0, 337.459, 350.408, 587.08, 2.54204E-010
